,q,que,ai_answer,actual_send_answer,kb_ids,new_refer
294,从哪里发货,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""从哪里发货""}]","亲,我们是山东枣庄发货。","亲,我们是山东枣庄发货。","22,23","['问题：""哪里发货"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""哪里发货？"", 答案：""山东枣庄发货的亲""', '问题：""哪里发货？"", 答案：""亲，我们是在山东枣庄发货的哦~""', '问题：""哪里发货从哪里发货？"", 答案：""亲，我们是在山东枣庄发货的哦~""', '问题：""你们是哪里发货出来"", 答案：""山东枣庄发货的亲""']"
295,"全部是坏的,不是一根而已图片已经显示的很清楚了一罐就破,我还没说让你们赔我损失呢我的肉怎么办二三十斤肉我怎么处理","[{""role"":""user"",""content"":""我已经拼单成功2小时,能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲,我们会尽快为您安排发货哦~""},{""role"":""user"",""content"":""全部是坏的,不是一根而已图片已经显示的很清楚了一罐就破,我还没说让你们赔我损失呢我的肉怎么办二三十斤肉我怎么处理""}]","亲,很抱歉给您带来不便,辛苦您提供下图片发给我们核实下哦。","亲,很抱歉给您带来不好的体验,还请亲理解一下,您看为了给您有个好的购物体验,给您补偿2元可以吗。",23,"['问题：""消费者申请开启售后，请处理泡了一包 没有一根是好的 ，全部都破了 泡了一包 没有一根是好的 ，全部都破了 泡了一包 没有一根是好的 ，全部都破了 我一申请就直接发到你这里来了"", 答案：""亲实在抱歉哈这个我也没有权限哈需要您那边自己申请哦""', '问题：""那咋办，买的时候也没说呀，只有两根好的坏的也太多了吧"", 答案：""亲拍照这边看下""', '问题：""袋子漏了漏水了都"", 答案：""亲，可能是打包的时候挤压导致的，不影响食用的哦""', '问题：""一袋里面有几根啊，就有一根不能用的"", 答案：""亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。""', '问题：""我买肉用了不好用也能退吧"", 答案：""不满意可以退货的""']"
296,这个过期也能吃吧,"[{""role"":""user"",""content"":""这个过期也能吃吧""}]","亲亲,这个过期了就不能吃了哦,建议您购买时检查一下生产日期和保质期。","亲亲,这个过期了就不能吃了哦,建议您购买时检查一下生产日期和保质期。","23,21","['问题：""这个有保质期吗"", 答案：""亲，这个产品有保质期哦，是360天。""', '问题：""<品质问题>为什么日期不新鲜"", 答案：""都是发3个月以内的货""', '问题：""我要一包就行了，另一包给你退回去行吗"", 答案：""这个保质期一年 您也可以留着继续用的""', '问题：""我购买的产品已经过期了怎么办？"", 答案：""您拍照给咱看下亲""', '问题：""<运营问题>日期新鲜吗？"", 答案：""都是近期的""']"
297,明天能发货吗,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""一小袋是能灌多少斤肉的""},{""role"":""assistant"",""content"":""亲,一小袋猪肠衣能灌大约4斤肉哦~""},{""role"":""user"",""content"":""就是说我买二十斤肉的话就是五小包呗""},{""role"":""assistant"",""content"":""亲,一包肠衣可以灌5斤左右肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。""},{""role"":""user"",""content"":""哦""},{""role"":""assistant"",""content"":""[玫瑰]""},{""role"":""user"",""content"":""明天能发货吗""}]","亲亲,我们会尽快安排发货哦~",48小时内陆续发货,"22,23","['问题：""着急要，今天能发货吗？"", 答案：""亲亲，我们发货时间为48小时内，我们会尽快为您发货，谢谢您的耐心等待。""', '问题：""一起下单不行吗？明天能发货吗？"", 答案：""只能分开拍亲""', '问题：""今天下单，今天能发货？"", 答案：""下单48小时内发货亲""', '问题：""今天发货吧？"", 答案：""亲亲，我们发货时间为48小时内我们会尽快为您发货，谢谢您的耐心等待。""', '问题：""今天发货吧"", 答案：""亲亲，我们发货时间为48小时内""']"
298,有没有灌肠的视频发下,"[{""role"":""user"",""content"":""有没有灌肠的视频发下""}]","亲,我们有视频教程,您可以在我们的产品页面找到哦~",亲 参考下哦,"22,23","['问题：""有没有灌肠的视频发下"", 答案：""亲 参考下哦""', '问题：""这个有没有灌肠的神器"", 答案：""全套工具包括灌肠器，漏斗，手套，棉线，牙签，教程。""', '问题：""这是教你怎么灌肠"", 答案：""亲暂时没有别的教程哈""', '问题：""能给我点灌肠配方吗"", 答案：""亲这边没有哦""', '问题：""现在还适合灌肠吗"", 答案：""根据自己需求哈亲应该是可以的""']"
299,就是说我买二十斤肉的话就是五小包呗,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""一小袋是能灌多少斤肉的""},{""role"":""assistant"",""content"":""亲,一小袋猪肠衣能灌大约4斤肉哦~""},{""role"":""user"",""content"":""就是说我买二十斤肉的话就是五小包呗""}]","亲,是的,20斤肉需要拍5包哦~","亲,一包肠衣可以灌5斤左右肉,10斤装的可以灌8-10斤肉,根据个人手法会有所不同哦。","22,23","['问题：""五十克的一包能灌几斤肉"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""', '问题：""那我购买的20斤肉的肠衣，是几代你不说一袋是五斤肉的吗我这是几斤的"", 答案：""20斤""', '问题：""我买的是一包可调5斤肉，我刚收到货，写着只能调3斤了的呢？"", 答案：""一袋调料可以拌五斤肉的亲 ""', '问题：""我买的是12块9毛4的。这个是罐多少斤肉啊？因为包装上没写。"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""', '问题：""链接里的斤数是肉的斤数呗"", 答案：""亲，是的呢""']"
300,一小袋是能灌多少斤肉的,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""一小袋是能灌多少斤肉的""}]","亲,一小袋猪肠衣能灌大约4斤肉哦~","亲,一小袋猪肠衣能灌大约4斤肉哦~","22,23","['问题：""一袋灌多少斤肉"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""', '问题：""这个能灌多少斤肉"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""', '问题：""这个能灌几斤肉"", 答案：""8斤左右""', '问题：""一袋能灌几斤"", 答案：""亲，猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉；10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""', '问题：""一袋料几斤肉啊"", 答案：""肠衣调料使用方法：1包调料 5斤肉左右，放2两白酒，2两味极鲜，根据自己口味适当放点盐，这种调配出来比较香。""']"
301,"好的,谢谢！","[{""role"":""user"",""content"":""亲,猪场衣如何清洗""},{""role"":""assistant"",""content"":""亲,冲洗就可以的亲。用自来水加上料酒泡30分钟-1小时,然后用手搓洗肠衣几下,然后换水,再搓洗,反复3-5遍就可以干净了,亲可以直接用。""},{""role"":""user"",""content"":""好的,谢谢！""}]","亲,不客气哦,有什么问题随时可以联系我哦~",客气了,23,"['问题：""好的，谢谢好的"", 答案：""客气了亲""', '问题：""哦哦好的谢谢"", 答案：""好的，谢谢您的支持哦~""', '问题：""收到，谢谢你！"", 答案：""不客气""', '问题：""我买过了挺好"", 答案：""好的 亲 感谢支持""', '问题：""好的  味道还行  昨天尝了一根"", 答案：""感谢支持""']"
302,"亲,猪场衣如何清洗","[{""role"":""user"",""content"":""亲,猪场衣如何清洗""}]","亲,冲洗就可以的亲。","亲,冲洗就可以的亲。",23,"['问题：""里面不用清洗吗"", 答案：""冲洗就可以的亲""', '问题：""清洗漏了几条"", 答案：""亲 拍照看下哦""', '问题：""对啊，我拍的是猪场衣，你给我发的是猪场衣，口径是3.8到4.0那为什么两个不一样呢？"", 答案：""亲，猪肠衣口径3.8-4.0左右，羊肠衣口径1.8-2.2左右""', '问题：""快递包装都烂了呢"", 答案：""亲里面有破损吗""']"
303,能冻吗,"[{""role"":""user"",""content"":""肠衣没用完泡过了怎么放""},{""role"":""assistant"",""content"":""亲,您可以先泡一些的,不够在泡,用不完还可以储存。用水泡过的肠衣没用完可以用盐腌制起来,然后沥干水分,后食品袋包好放冰箱冷藏保鲜就可以了哦~""},{""role"":""user"",""content"":""能冻吗""}]","亲,肠衣可以冻起来哦~",亲 肠衣不能冷冻哦,23,"['问题：""<食用方式>需要冷藏吗？"", 答案：""不需要""', '问题：""刚刚拿回来拆开看了一下，是放冰箱冷藏还是保鲜呢"", 答案：""冷藏哦""', '问题：""有冷冻的东西容易坏，已四天了。"", 答案：""亲 不会的哦 常温保存3个月""', '问题：""能发邮政吗"", 答案：""不支持指定邮政""', '问题：""这个有保质期吗"", 答案：""亲，这个产品有保质期哦，是360天。""']"
304,肠衣没用完泡过了怎么放,"[{""role"":""user"",""content"":""肠衣没用完泡过了怎么放""}]","亲,您可以先泡一些的,不够在泡,用不完还可以储存。用水泡过的肠衣没用完可以用盐腌制起来,然后沥干水分,后食品袋包好放冰箱冷藏保鲜就可以了哦~","亲,您可以先泡一些的,不够在泡,用不完还可以储存。用水泡过的肠衣没用完可以用盐腌制起来,然后沥干水分,后食品袋包好放冰箱冷藏保鲜就可以了哦~",23,"['问题：""购买后的产品需要全部一次使用完吗？"", 答案：""您可以先泡一些的  不够在泡  用不完还可以储存 用水泡过的肠衣没用完可以用盐腌制起来 然后沥干水分 后食品袋包好放冰箱冷藏保鲜就可以了亲 没泡过的直接冷藏保鲜就可以""', '问题：""清洗漏了几条"", 答案：""亲 拍照看下哦""', '问题：""刚刚拿回来拆开看了一下，是放冰箱冷藏还是保鲜呢"", 答案：""冷藏哦""', '问题：""我用盐淹了但是没有沥干水分[撇嘴]"", 答案：""亲，没关系的""', '问题：""送过来四天了在快递点还能用吗"", 答案：""可以的亲""']"
305,这肠衣是可食用的吗,"[{""role"":""user"",""content"":""这肠衣是可食用的吗""}]","亲,这肠衣是可以食用的,但是需要煮熟后食用哦。","亲,这肠衣是可以食用的",23,"['问题：""<食用方式>肠胃不好可以食用吗？"", 答案：""可以""', '问题：""<食用方式>儿童可以食用吗？"", 答案：""可以""', '问题：""<食用方式>哺乳期可以食用吗？"", 答案：""可以""', '问题：""<食用方式>食用完会不会容易胀气或腹泻？"", 答案：""不会""', '问题：""<食用方式>是开袋即食吗？"", 答案：""不是""']"
306,羊肠衣用猪肠器灌可以吗,"[{""role"":""user"",""content"":""羊肠衣用猪肠器灌可以吗""}]","亲,羊肠衣和猪肠器不通用哦,建议您使用羊肠器。",不能哦 亲,"22,23","['问题：""羊肠衣用猪肠器灌可以吗"", 答案：""亲，灌肠器都是通用的，不同的是灌肠器的漏斗，羊肠衣漏斗小，猪肠衣漏斗大。""', '问题：""用猪肠衣灌羊肉可以吗？"", 答案：""肉馅一般都可以哈""', '问题：""这个灌肠工具可以灌羊肠衣吗"", 答案：""不可以哈""', '问题：""这个肠衣可以灌蒜肠嘛"", 答案：""亲，这款肠衣适合灌制蒜肠哦，口感很好呢。""', '问题：""肠衣能用那种大号灌肠器吗"", 答案：""亲，肠衣和灌肠器是配套使用的哦，""']"
307,都没货了么,"[{""role"":""user"",""content"":""都没货了么""}]","亲,目前这款商品还有库存哦,您可以放心购买~",亲 不能拍就是没有了哦,"23,21","['问题：""都没货了么"", 答案：""亲 不能拍就是没有了哦""', '问题：""这个商品现在有现货吗？"", 答案：""亲，您看中的这款宝贝是有现货的呢，您可以放心购买哦~""', '问题：""需要现货或者预定吗？"", 答案：""您可以直接下单购买哦，如果有特殊需求，下单一定要联系我哦亲亲。""', '问题：""这款产品还有库存吗？"", 答案：""能拍下的都是有货的亲""', '问题：""怎么不发货呢请处理消费者服务工单"", 答案：""亲 正在备货哦""']"
